sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	Bacteriocin_II	Bacteriocin_IIc	Bacteriocin_IId	botH	bt1fas	CaiA	Chal_sti_synt_C	Chal_sti_synt_N	Condensation	cyanobactin_synth	cycdipepsynth	cypI	DOIS	DUF1205	DUF692	ectoine_synt	fabH	fom1	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	Lactococcin	LANC_like	Lant_dehyd_C	Lant_dehyd_N	lasso	Linocin_M18	LipV	LmbU	Lycopene_cycl	melC	MGT	micJ25	mvd_mst	mvnA	NAD_binding_4	NapT7	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	prnB	salQ	spcDK_like_cou	spcDK_like_glyc	strepbact	strK_like1	strK_like2	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth_C	thiostrepton	TIGR03651	TIGR03678	TIGR03731	TIGR03793	TIGR03795	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	YcaO
sim_meta-135	220	0	12140	0	40	0	1	2	0	29	0	24	48	678	2	0	0	0	0	131	7	755	17	168	1746	2113	0	15	17	0	36	0	40	15	2	0	17	0	0	24	0	75	21	0	0	1174	5	0	505	3150	291	650	1942	15	0	179	0	494	123	365	0	0	4	1	0	0	0	0	1250	3	0	0	24	0	0	0	0	0	0	23	0	5	0	0	0	1	143
sim_meta-136	409	0	12469	2	36	0	0	2	0	0	0	38	50	1029	0	14	0	0	0	92	0	906	19	226	2199	2368	0	25	52	62	96	0	47	31	7	0	45	0	7	48	0	199	25	0	0	1246	16	0	1111	3531	319	389	2078	11	11	215	0	1238	1201	556	12	0	2	4	0	2	0	61	1778	105	0	0	37	63	0	3	0	3	0	0	3	0	0	0	0	3	171
sim_meta-137	193	0	11092	74	49	0	0	2	1	1	0	49	46	722	0	0	0	0	0	158	8	686	0	202	2178	2361	0	15	60	0	113	0	27	18	8	0	25	0	0	5	0	106	36	2	0	1275	6	0	513	2794	334	335	1576	0	14	204	6	642	674	511	0	0	0	3	0	1	0	0	1325	5	10	1	65	17	0	2	0	1	0	0	0	7	0	0	0	1	189
sim_meta-138	318	0	11038	73	40	0	0	0	0	23	0	34	37	645	14	0	0	0	0	127	9	762	0	284	2112	2707	0	18	20	0	123	7	18	24	9	0	8	0	0	14	0	103	11	0	0	1345	6	0	466	3013	377	481	1659	21	0	251	0	785	591	454	0	7	1	11	0	1	0	0	1434	3	15	0	36	6	0	3	0	0	0	0	1	0	33	0	3	0	160
sim_meta-139	256	4	12601	73	29	0	3	0	0	12	0	14	12	1290	7	0	0	0	0	136	9	740	0	192	1757	2264	4	22	48	0	132	0	3	3	1	0	28	0	0	15	0	127	14	0	0	1300	0	0	741	3238	379	387	1766	0	23	202	2	766	760	587	0	0	2	1	0	0	0	11	1454	25	16	7	53	21	0	0	0	0	0	0	2	2	0	0	1	6	169
sim_meta-14	451	3	12052	1	57	0	5	1	0	0	0	20	17	1338	0	0	0	0	0	98	11	796	3	176	1875	2154	0	27	54	0	107	0	33	12	3	0	49	0	0	10	0	131	24	0	0	1258	0	0	849	3517	317	503	2114	16	20	142	10	605	361	483	21	0	1	2	0	0	0	18	1559	9	0	0	61	59	0	2	0	1	0	10	4	3	10	0	0	0	137
sim_meta-140	284	2	13152	0	31	0	0	0	0	8	0	19	24	910	0	0	0	0	0	126	12	717	0	207	1948	2060	4	14	35	0	75	1	30	25	8	0	45	0	0	24	0	105	21	0	0	1273	5	0	579	3141	359	429	1953	0	22	257	2	794	391	458	7	0	3	3	0	0	0	6	1319	14	0	0	46	27	0	4	0	2	0	3	0	3	3	0	0	5	181
sim_meta-141	150	7	11186	2	15	0	3	0	0	0	0	32	40	948	0	0	0	0	0	90	17	783	0	201	2244	2699	0	23	42	0	90	0	20	13	1	0	32	0	0	61	0	89	29	0	0	1541	0	0	257	2580	320	296	1834	9	48	239	0	582	208	470	0	0	1	4	0	2	0	0	1442	3	0	0	47	0	0	4	0	0	0	0	11	0	0	0	0	0	276
sim_meta-142	227	7	13364	0	36	0	0	2	0	8	0	61	74	1203	0	1	0	0	0	94	15	805	0	188	2250	2551	2	23	89	26	35	6	89	62	12	0	68	0	2	34	0	115	31	0	0	1364	2	0	787	3137	324	415	1851	13	31	236	1	753	461	538	0	9	4	3	0	1	0	6	1480	17	0	0	49	13	0	0	0	5	2	2	0	0	4	0	1	1	120
sim_meta-143	352	4	15885	2	28	0	0	1	0	36	0	10	14	2344	23	0	0	0	0	136	15	718	5	193	2183	2291	10	28	40	22	127	0	26	24	6	0	31	0	0	52	0	147	25	2	0	1314	4	0	1071	3843	342	518	2155	1	9	286	0	892	601	687	5	0	1	0	0	0	0	26	1531	27	0	2	65	29	0	0	2	3	0	0	8	2	0	0	2	13	139
