sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	Bacteriocin_II	Bacteriocin_IIc	Bacteriocin_IId	botH	bt1fas	CaiA	Chal_sti_synt_C	Chal_sti_synt_N	Condensation	cyanobactin_synth	cycdipepsynth	cypI	DOIS	DUF1205	DUF692	ectoine_synt	fabH	fom1	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	Lactococcin	LANC_like	Lant_dehyd_C	Lant_dehyd_N	lasso	Linocin_M18	LipV	LmbU	Lycopene_cycl	melC	MGT	micJ25	mvd_mst	mvnA	NAD_binding_4	NapT7	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	prnB	salQ	spcDK_like_cou	spcDK_like_glyc	strepbact	strK_like1	strK_like2	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth_C	thiostrepton	TIGR03651	TIGR03678	TIGR03731	TIGR03793	TIGR03795	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	YcaO
sim_meta-90	167	2	10430	0	32	0	0	0	3	7	0	40	39	705	0	0	0	0	0	49	19	794	0	222	2316	2388	0	7	26	14	49	0	37	7	0	0	76	0	0	35	0	24	17	0	0	1353	0	0	322	2979	285	609	1783	35	64	229	0	595	170	431	0	0	1	1	0	0	0	0	1338	5	0	0	84	0	0	9	0	0	0	0	3	0	0	0	0	0	128
sim_meta-91	303	2	13268	0	26	0	0	2	0	22	0	9	11	1841	0	1	0	0	0	156	6	731	3	241	2399	2352	0	11	28	0	97	0	45	54	11	0	26	0	0	21	2	62	19	0	0	1266	2	0	412	2896	332	408	1656	38	7	96	0	765	525	680	0	12	6	7	0	0	0	3	1404	12	0	0	36	16	0	3	0	2	0	0	7	0	37	0	1	0	302
sim_meta-92	415	12	22567	1	27	0	0	0	0	33	0	34	40	3125	0	0	0	1	0	154	29	730	9	177	2067	2086	23	3	41	0	120	0	39	45	7	0	114	0	0	71	0	179	6	0	0	1606	1	0	1610	4650	292	311	2176	0	62	239	2	1798	2267	1067	0	0	3	2	0	0	0	24	913	38	0	4	76	89	0	0	0	0	0	0	0	0	12	0	1	16	168
sim_meta-93	261	0	13430	1	15	0	3	0	0	1	0	12	8	1114	0	0	0	0	0	79	24	768	9	188	2355	2521	0	15	58	0	68	0	53	43	5	0	14	0	0	58	0	146	4	0	0	1405	3	1	944	2901	283	419	1680	15	22	192	4	1134	1052	650	11	0	1	1	0	0	0	3	1349	7	0	0	5	56	0	0	0	0	0	0	0	0	12	0	0	2	104
sim_meta-94	278	0	14075	78	62	0	0	0	0	3	0	12	13	1169	16	1	0	0	0	112	15	628	0	194	1904	2189	0	36	56	0	102	0	30	16	6	0	27	0	0	21	0	90	34	0	0	1271	2	0	571	3448	265	490	2085	3	9	261	0	682	665	564	0	0	1	1	0	0	0	1	1386	13	20	0	86	5	0	1	0	0	0	18	0	7	0	0	2	0	193
sim_meta-95	158	0	14069	0	6	0	0	0	0	0	0	28	35	800	16	0	0	0	0	186	11	740	0	238	2503	2020	0	8	51	105	146	0	49	5	0	0	7	0	0	14	0	109	40	5	0	1516	0	0	569	3151	325	175	1952	53	0	389	0	653	268	430	0	0	3	1	0	0	0	15	1146	1	0	0	61	0	0	0	1	0	0	0	10	4	0	0	0	0	299
sim_meta-96	217	0	11830	76	50	0	0	0	0	7	0	24	42	1031	11	0	0	0	0	90	1	819	0	218	1606	1863	0	64	115	0	98	0	24	3	0	0	11	0	0	21	0	80	17	0	0	1232	0	0	377	3234	268	442	1861	21	27	213	0	741	548	554	14	0	4	0	0	0	0	26	1673	2	8	0	24	7	0	7	0	0	0	34	0	14	0	0	0	0	188
sim_meta-97	193	0	10447	25	12	0	0	0	0	0	0	7	16	781	0	0	0	0	0	206	7	636	0	206	2045	2242	0	21	33	1	18	0	23	6	3	0	5	0	0	41	0	149	24	7	0	1311	0	0	591	2821	326	401	1742	0	31	188	7	923	753	474	0	0	1	2	0	0	0	5	1425	0	0	1	19	21	0	16	0	0	0	0	0	5	0	0	0	0	263
sim_meta-98	511	0	15665	97	19	0	0	0	0	46	0	37	26	2515	45	9	0	0	1	100	11	791	0	206	2440	2773	6	46	101	38	158	0	28	25	2	0	29	3	6	64	0	183	18	0	0	1350	18	0	1403	4236	207	567	1911	20	0	218	0	1312	1571	835	0	4	1	2	0	1	0	31	1203	76	15	1	63	48	0	3	0	0	0	0	2	11	15	0	0	11	81
sim_meta-99	482	1	15175	6	15	0	0	0	0	5	0	39	50	1496	0	7	1	0	0	111	24	707	3	185	2019	2175	2	13	54	19	65	0	64	68	13	0	34	1	8	12	0	211	26	0	0	1163	23	0	1102	4180	310	439	2089	54	8	147	5	1200	1569	679	0	13	2	2	1	1	0	31	1273	58	0	0	28	50	1	4	0	0	0	0	2	0	59	0	1	1	173
